gas_sensor,gas_level_data,gas_date,gas_time
AQ802GAS01,2669,2023-02-08,11:51:17
AQ803GAS01,1855,2023-03-24,11:47:32
AQ804GAS01,386,2023-02-14,13:57:21
AQ805GAS01,797,2023-03-09,16:49:28
AQ806GAS01,1741,2023-03-14,14:06:30
AQ807GAS01,2967,2023-01-14,14:33:00
AQ808GAS01,2264,2023-03-18,09:49:28
AQ809GAS01,2689,2023-05-05,11:08:54
AQ810GAS01,2720,2023-04-29,11:39:40
AQ811GAS01,662,2023-04-16,15:03:33
AQ801GAS01,2323,2023-01-12,07:15:25
AQ802GAS01,2316,2023-05-10,13:36:28
AQ803GAS01,913,2023-04-29,12:24:46
AQ804GAS01,622,2023-05-18,09:12:25
AQ805GAS01,2414,2023-05-02,12:20:40
AQ806GAS01,1236,2023-01-20,08:26:52
AQ807GAS01,2195,2023-05-13,08:58:01
AQ808GAS01,796,2023-04-08,10:16:10
AQ809GAS01,540,2023-01-13,15:48:17
AQ810GAS01,1478,2023-02-05,11:47:35
AQ811GAS01,447,2023-05-20,16:06:09
AQ801GAS01,355,2023-05-05,09:24:29
AQ802GAS01,1306,2023-04-15,09:46:43
AQ803GAS01,1130,2023-03-14,08:22:46
AQ804GAS01,2410,2023-05-17,11:50:11
AQ805GAS01,334,2023-06-07,13:48:45
AQ806GAS01,2515,2023-03-09,07:36:38
AQ807GAS01,2605,2023-06-07,18:23:35
AQ808GAS01,2003,2023-03-31,07:03:03
AQ809GAS01,1601,2023-01-08,16:04:06
AQ810GAS01,2174,2023-01-23,14:46:25
AQ811GAS01,2533,2023-04-21,13:58:56
AQ801GAS01,692,2023-05-14,08:57:43
AQ802GAS01,1238,2023-02-07,11:39:18
AQ803GAS01,801,2023-02-07,18:49:35
AQ804GAS01,1107,2023-02-21,09:57:27
AQ805GAS01,1774,2023-04-29,11:18:51
AQ806GAS01,2969,2023-04-19,07:02:46
AQ807GAS01,2881,2023-06-05,09:38:08
AQ808GAS01,757,2023-01-12,11:13:34
AQ809GAS01,728,2023-05-20,10:45:48
AQ810GAS01,1560,2023-05-21,13:12:35
AQ811GAS01,775,2023-03-04,12:29:34
AQ801GAS01,2881,2023-04-17,09:06:01
AQ802GAS01,2842,2023-05-15,14:56:20
AQ803GAS01,1408,2023-06-04,15:10:06
AQ804GAS01,1079,2023-02-20,14:26:22
AQ805GAS01,1439,2023-05-01,09:22:25
AQ806GAS01,1908,2023-03-23,14:18:28
AQ807GAS01,1795,2023-01-04,09:49:05
AQ808GAS01,1225,2023-02-18,17:01:01
AQ809GAS01,1344,2023-05-10,17:17:31
AQ810GAS01,1804,2023-02-08,13:09:50
AQ811GAS01,881,2023-04-18,14:15:12
AQ801GAS01,2391,2023-03-21,17:32:25
AQ802GAS01,335,2023-02-09,07:17:35
AQ803GAS01,420,2023-04-10,09:50:45
AQ804GAS01,2784,2023-01-12,13:20:15
AQ805GAS01,1431,2023-05-05,07:22:56
AQ806GAS01,360,2023-05-09,18:50:22
AQ807GAS01,562,2023-01-03,14:11:42
AQ808GAS01,1750,2023-06-07,09:50:39
AQ809GAS01,1876,2023-01-14,18:52:40
AQ810GAS01,1633,2023-05-31,11:59:18
AQ811GAS01,642,2023-01-28,17:51:09
AQ801GAS01,2419,2023-05-24,08:45:42
AQ802GAS01,313,2023-05-24,13:25:04
AQ803GAS01,1103,2023-04-17,12:12:36
AQ804GAS01,2810,2023-02-05,18:31:56
AQ805GAS01,2905,2023-04-14,12:49:46
AQ806GAS01,624,2023-02-19,17:06:35
AQ807GAS01,353,2023-05-13,12:07:02
AQ808GAS01,2801,2023-03-03,18:37:55
AQ809GAS01,945,2023-02-19,07:09:51
AQ810GAS01,764,2023-03-28,15:28:51
AQ811GAS01,1311,2023-04-21,16:22:15
AQ801GAS01,2330,2023-04-04,18:22:12
AQ802GAS01,2583,2023-06-03,11:14:16
AQ803GAS01,2503,2023-03-15,09:20:13
AQ804GAS01,2395,2023-05-04,13:45:11
AQ805GAS01,2568,2023-03-07,17:26:24
AQ806GAS01,1368,2023-04-26,08:08:28
AQ807GAS01,2548,2023-02-21,17:27:17
AQ808GAS01,2249,2023-03-16,07:20:01
AQ809GAS01,2381,2023-05-15,14:01:21
AQ810GAS01,2460,2023-04-13,12:57:31
AQ811GAS01,377,2023-05-26,18:48:05
AQ801GAS01,2388,2023-03-30,11:17:47
AQ802GAS01,2333,2023-05-31,17:32:47
AQ803GAS01,2782,2023-06-02,18:07:54
AQ804GAS01,1014,2023-02-06,16:45:14
AQ805GAS01,2829,2023-01-04,13:59:47
AQ806GAS01,2652,2023-01-19,18:51:10
AQ807GAS01,1803,2023-03-04,18:23:22
AQ808GAS01,781,2023-01-14,14:16:51
AQ809GAS01,719,2023-01-16,17:28:31
AQ810GAS01,1421,2023-02-10,09:44:30
AQ811GAS01,2018,2023-02-23,18:38:43
AQ801GAS01,2825,2023-02-05,09:33:20
AQ802GAS01,1919,2023-03-03,14:35:08
AQ803GAS01,2874,2023-02-22,07:43:11
AQ804GAS01,1967,2023-05-02,07:48:57
AQ805GAS01,2552,2023-02-09,15:14:26
AQ806GAS01,1330,2023-04-19,09:19:14
AQ807GAS01,1746,2023-05-07,07:45:45
AQ808GAS01,660,2023-04-22,18:03:51
AQ809GAS01,993,2023-05-04,09:12:22
AQ810GAS01,612,2023-05-13,07:11:13
AQ811GAS01,830,2023-03-30,14:47:53
AQ801GAS01,1546,2023-02-07,09:58:51
AQ802GAS01,1585,2023-04-30,10:23:16
AQ803GAS01,2091,2023-03-11,16:27:38
AQ804GAS01,481,2023-01-09,16:10:11
AQ805GAS01,399,2023-01-07,18:02:57
AQ806GAS01,532,2023-04-03,13:03:03
AQ807GAS01,558,2023-03-15,13:51:18
AQ808GAS01,2825,2023-05-11,18:18:20
AQ809GAS01,2268,2023-02-19,10:49:19
AQ810GAS01,1490,2023-02-18,14:17:12
AQ811GAS01,968,2023-02-19,08:59:50
AQ801GAS01,2985,2023-05-15,10:23:48
AQ802GAS01,1711,2023-05-14,12:11:18
AQ803GAS01,1628,2023-02-03,10:14:40
AQ804GAS01,1411,2023-05-28,13:16:39
AQ805GAS01,1001,2023-03-04,11:25:17
AQ806GAS01,2262,2023-04-25,18:52:14
AQ807GAS01,429,2023-04-03,10:07:52
AQ808GAS01,2564,2023-03-22,12:42:50
AQ809GAS01,949,2023-04-02,18:14:42
AQ810GAS01,2640,2023-05-19,18:27:52
AQ811GAS01,917,2023-03-22,12:14:23
AQ801GAS01,2697,2023-04-29,09:20:17
