outdoor_temp_sensor,outdoor_temp_data,outdoor_temp_date,outdoor_temp_time
AQ802OUTTEMP01,29,2023-06-05,11:46:18
AQ803OUTTEMP01,24,2023-03-28,16:54:23
AQ804OUTTEMP01,24,2023-02-25,11:29:05
AQ805OUTTEMP01,29,2023-01-23,17:28:41
AQ806OUTTEMP01,34,2023-01-14,11:14:46
AQ807OUTTEMP01,34,2023-03-09,13:42:38
AQ808OUTTEMP01,29,2023-04-17,17:09:24
AQ809OUTTEMP01,26,2023-01-08,10:10:00
AQ810OUTTEMP01,34,2023-02-20,12:52:01
AQ811OUTTEMP01,24,2023-01-28,12:46:52
AQ801OUTTEMP01,34,2023-04-23,18:54:10
AQ802OUTTEMP01,30,2023-02-02,17:20:16
AQ803OUTTEMP01,29,2023-02-15,13:48:31
AQ804OUTTEMP01,32,2023-02-17,10:10:28
AQ805OUTTEMP01,35,2023-04-13,17:36:33
AQ806OUTTEMP01,34,2023-02-08,14:19:08
AQ807OUTTEMP01,24,2023-03-24,16:36:11
AQ808OUTTEMP01,35,2023-01-14,10:31:28
AQ809OUTTEMP01,37,2023-04-27,17:27:37
AQ810OUTTEMP01,24,2023-01-04,12:23:06
AQ811OUTTEMP01,40,2023-05-27,10:07:28
AQ801OUTTEMP01,40,2023-04-08,18:11:52
AQ802OUTTEMP01,35,2023-01-04,11:44:17
AQ803OUTTEMP01,37,2023-02-28,09:07:55
AQ804OUTTEMP01,39,2023-06-07,18:16:27
AQ805OUTTEMP01,36,2023-04-15,15:16:36
AQ806OUTTEMP01,32,2023-02-23,16:23:51
AQ807OUTTEMP01,25,2023-04-19,08:48:36
AQ808OUTTEMP01,35,2023-04-28,07:05:56
AQ809OUTTEMP01,27,2023-02-04,16:39:10
AQ810OUTTEMP01,33,2023-03-12,07:07:43
AQ811OUTTEMP01,31,2023-04-13,08:50:44
AQ801OUTTEMP01,34,2023-05-30,14:01:29
AQ802OUTTEMP01,36,2023-03-02,11:06:25
AQ803OUTTEMP01,34,2023-02-08,13:13:36
AQ804OUTTEMP01,34,2023-01-22,14:14:57
AQ805OUTTEMP01,34,2023-05-22,11:44:46
AQ806OUTTEMP01,34,2023-05-14,09:42:27
AQ807OUTTEMP01,40,2023-03-07,16:47:47
AQ808OUTTEMP01,32,2023-05-15,14:02:19
AQ809OUTTEMP01,39,2023-04-04,18:30:31
AQ810OUTTEMP01,39,2023-03-29,07:23:05
AQ811OUTTEMP01,26,2023-05-15,15:01:07
AQ801OUTTEMP01,27,2023-01-16,07:58:21
AQ802OUTTEMP01,34,2023-05-02,16:01:15
AQ803OUTTEMP01,33,2023-01-26,15:02:12
AQ804OUTTEMP01,30,2023-02-20,10:40:40
AQ805OUTTEMP01,26,2023-04-21,08:32:10
AQ806OUTTEMP01,37,2023-05-04,13:12:47
AQ807OUTTEMP01,36,2023-04-09,11:28:13
AQ808OUTTEMP01,28,2023-01-09,07:54:03
AQ809OUTTEMP01,40,2023-04-09,14:15:31
AQ810OUTTEMP01,32,2023-01-11,11:07:05
AQ811OUTTEMP01,32,2023-01-05,11:57:25
AQ801OUTTEMP01,35,2023-03-15,11:17:53
AQ802OUTTEMP01,33,2023-01-24,10:07:44
AQ803OUTTEMP01,39,2023-06-03,18:30:08
AQ804OUTTEMP01,37,2023-03-14,12:36:59
AQ805OUTTEMP01,36,2023-04-07,13:14:13
AQ806OUTTEMP01,25,2023-05-29,09:12:45
AQ807OUTTEMP01,30,2023-04-05,07:17:31
AQ808OUTTEMP01,32,2023-06-11,15:30:34
AQ809OUTTEMP01,35,2023-04-09,11:06:02
AQ810OUTTEMP01,37,2023-05-23,14:00:34
AQ811OUTTEMP01,24,2023-06-03,08:27:50
AQ801OUTTEMP01,39,2023-01-18,10:14:45
AQ802OUTTEMP01,37,2023-01-31,09:36:32
AQ803OUTTEMP01,31,2023-04-13,17:33:36
AQ804OUTTEMP01,24,2023-06-02,09:19:05
AQ805OUTTEMP01,36,2023-02-01,18:33:03
AQ806OUTTEMP01,29,2023-01-02,08:53:31
AQ807OUTTEMP01,40,2023-02-09,14:26:39
AQ808OUTTEMP01,37,2023-06-12,07:07:11
AQ809OUTTEMP01,34,2023-04-29,16:35:28
AQ810OUTTEMP01,39,2023-01-13,10:30:49
AQ811OUTTEMP01,27,2023-01-19,08:34:02
AQ801OUTTEMP01,31,2023-03-04,16:37:47
AQ802OUTTEMP01,29,2023-05-11,17:41:54
AQ803OUTTEMP01,31,2023-03-19,07:01:34
AQ804OUTTEMP01,40,2023-05-16,14:37:24
AQ805OUTTEMP01,34,2023-05-16,10:32:04
AQ806OUTTEMP01,35,2023-04-01,18:50:39
AQ807OUTTEMP01,27,2023-02-19,17:31:40
AQ808OUTTEMP01,31,2023-02-23,15:22:40
AQ809OUTTEMP01,36,2023-05-22,07:51:03
AQ810OUTTEMP01,39,2023-05-08,11:27:28
AQ811OUTTEMP01,40,2023-02-12,08:28:57
AQ801OUTTEMP01,26,2023-01-27,13:03:49
AQ802OUTTEMP01,36,2023-06-04,18:17:32
AQ803OUTTEMP01,32,2023-04-07,10:31:52
AQ804OUTTEMP01,36,2023-01-08,09:01:31
AQ805OUTTEMP01,30,2023-03-19,09:59:03
AQ806OUTTEMP01,40,2023-03-28,10:28:19
AQ807OUTTEMP01,30,2023-04-02,11:58:31
AQ808OUTTEMP01,24,2023-04-07,13:46:16
AQ809OUTTEMP01,24,2023-01-30,12:41:07
AQ810OUTTEMP01,38,2023-03-20,14:21:27
AQ811OUTTEMP01,34,2023-03-30,08:05:11
AQ801OUTTEMP01,39,2023-04-24,13:07:34
AQ802OUTTEMP01,24,2023-04-15,14:02:33
AQ803OUTTEMP01,24,2023-04-14,08:34:09
AQ804OUTTEMP01,34,2023-05-26,14:46:47
AQ805OUTTEMP01,36,2023-02-05,17:50:24
AQ806OUTTEMP01,36,2023-01-27,08:44:37
AQ807OUTTEMP01,30,2023-06-12,15:18:15
AQ808OUTTEMP01,38,2023-04-26,16:14:44
AQ809OUTTEMP01,40,2023-03-20,12:46:53
AQ810OUTTEMP01,27,2023-05-08,15:18:06
AQ811OUTTEMP01,28,2023-01-07,10:30:48
AQ801OUTTEMP01,36,2023-05-30,12:54:06
AQ802OUTTEMP01,30,2023-06-07,15:54:52
AQ803OUTTEMP01,24,2023-05-28,08:14:57
AQ804OUTTEMP01,34,2023-05-11,10:25:20
AQ805OUTTEMP01,28,2023-03-23,12:41:18
AQ806OUTTEMP01,37,2023-02-11,07:09:44
AQ807OUTTEMP01,27,2023-01-01,08:28:37
AQ808OUTTEMP01,33,2023-04-22,13:33:16
AQ809OUTTEMP01,38,2023-04-29,14:05:49
AQ810OUTTEMP01,33,2023-05-04,17:23:26
AQ811OUTTEMP01,36,2023-04-20,16:53:28
AQ801OUTTEMP01,37,2023-06-04,11:32:52
AQ802OUTTEMP01,25,2023-05-14,10:49:15
AQ803OUTTEMP01,25,2023-05-10,15:31:57
AQ804OUTTEMP01,25,2023-04-02,18:03:14
AQ805OUTTEMP01,28,2023-03-03,13:25:49
AQ806OUTTEMP01,25,2023-05-07,07:11:07
AQ807OUTTEMP01,38,2023-05-31,09:16:30
AQ808OUTTEMP01,31,2023-05-19,07:12:39
AQ809OUTTEMP01,37,2023-05-30,08:35:25
AQ810OUTTEMP01,25,2023-01-10,17:37:52
AQ811OUTTEMP01,33,2023-01-08,08:54:45
AQ801OUTTEMP01,35,2023-06-01,09:39:39
