humidity_sensor,humidity_level_data,humidity_date,humidity_time
AQ801RELHUM01,54,2023-03-24,09:18:54
AQ802RELHUM01,88,2023-04-26,07:02:44
AQ803RELHUM01,73,2023-04-25,13:31:23
AQ804RELHUM01,84,2023-06-03,08:52:54
AQ805RELHUM01,78,2023-05-27,15:59:34
AQ806RELHUM01,90,2023-02-28,13:43:26
AQ807RELHUM01,55,2023-01-25,14:57:33
AQ808RELHUM01,80,2023-02-28,07:00:49
AQ809RELHUM01,78,2023-04-16,10:57:09
AQ810RELHUM01,69,2023-01-28,07:04:11
AQ811RELHUM01,72,2023-01-02,07:59:28
AQ801RELHUM01,58,2023-01-19,14:48:36
AQ802RELHUM01,99,2023-02-11,18:54:16
AQ803RELHUM01,89,2023-02-22,10:29:05
AQ804RELHUM01,56,2023-03-04,17:02:20
AQ805RELHUM01,53,2023-06-12,13:35:56
AQ806RELHUM01,52,2023-05-18,07:51:38
AQ807RELHUM01,75,2023-05-03,11:42:54
AQ808RELHUM01,95,2023-02-20,16:59:14
AQ809RELHUM01,67,2023-02-26,08:08:07
AQ810RELHUM01,56,2023-05-22,18:43:41
AQ811RELHUM01,66,2023-03-22,07:32:08
AQ801RELHUM01,78,2023-03-01,14:43:03
AQ802RELHUM01,66,2023-04-14,12:04:22
AQ803RELHUM01,65,2023-04-12,08:26:37
AQ804RELHUM01,76,2023-01-13,09:24:05
AQ805RELHUM01,61,2023-05-03,11:26:00
AQ806RELHUM01,91,2023-02-26,08:51:44
AQ807RELHUM01,98,2023-05-02,11:43:34
AQ808RELHUM01,68,2023-02-21,11:17:06
AQ809RELHUM01,65,2023-06-01,15:43:24
AQ810RELHUM01,65,2023-01-31,17:48:12
AQ811RELHUM01,95,2023-06-07,16:07:55
AQ801RELHUM01,93,2023-05-17,15:49:49
AQ802RELHUM01,61,2023-03-07,11:09:38
AQ803RELHUM01,76,2023-05-26,18:20:19
AQ804RELHUM01,82,2023-03-07,09:18:39
AQ805RELHUM01,92,2023-01-08,08:50:12
AQ806RELHUM01,81,2023-03-09,16:24:20
AQ807RELHUM01,87,2023-02-01,07:52:55
AQ808RELHUM01,59,2023-02-10,18:31:14
AQ809RELHUM01,95,2023-05-30,12:44:14
AQ810RELHUM01,65,2023-01-01,08:53:16
AQ811RELHUM01,92,2023-05-07,11:03:56
AQ801RELHUM01,82,2023-02-23,10:36:48
AQ802RELHUM01,95,2023-05-24,13:52:16
AQ803RELHUM01,54,2023-01-19,13:06:01
AQ804RELHUM01,96,2023-04-27,10:49:13
AQ805RELHUM01,56,2023-02-23,07:44:59
AQ806RELHUM01,64,2023-05-15,11:42:32
AQ807RELHUM01,65,2023-03-19,07:00:08
AQ808RELHUM01,72,2023-01-23,11:30:53
AQ809RELHUM01,67,2023-05-02,16:11:05
AQ810RELHUM01,69,2023-03-11,12:48:53
AQ811RELHUM01,52,2023-06-01,10:24:15
AQ801RELHUM01,75,2023-01-08,13:22:47
AQ802RELHUM01,72,2023-02-05,12:42:26
AQ803RELHUM01,79,2023-01-14,08:50:42
AQ804RELHUM01,77,2023-01-17,15:23:43
AQ805RELHUM01,59,2023-01-20,13:22:13
AQ806RELHUM01,79,2023-04-04,18:35:13
AQ807RELHUM01,84,2023-02-08,17:28:29
AQ808RELHUM01,90,2023-03-26,15:48:27
AQ809RELHUM01,94,2023-05-04,13:35:56
AQ810RELHUM01,60,2023-01-25,11:34:06
AQ811RELHUM01,96,2023-04-13,07:11:01
AQ801RELHUM01,83,2023-04-20,08:12:10
AQ802RELHUM01,72,2023-04-01,16:52:54
AQ803RELHUM01,77,2023-02-22,16:56:07
AQ804RELHUM01,86,2023-04-01,12:44:30
AQ805RELHUM01,70,2023-04-03,07:26:41
AQ806RELHUM01,80,2023-02-05,15:20:02
AQ807RELHUM01,86,2023-02-10,17:39:32
AQ808RELHUM01,85,2023-01-10,17:11:39
AQ809RELHUM01,68,2023-01-27,08:58:17
AQ810RELHUM01,59,2023-04-20,07:19:02
AQ811RELHUM01,53,2023-03-24,18:49:20
AQ801RELHUM01,55,2023-04-04,18:42:01
AQ802RELHUM01,77,2023-04-27,13:18:08
AQ803RELHUM01,97,2023-01-17,13:41:46
AQ804RELHUM01,58,2023-03-26,07:40:51
AQ805RELHUM01,65,2023-04-15,08:44:09
AQ806RELHUM01,85,2023-02-15,11:58:06
AQ807RELHUM01,54,2023-05-06,16:16:16
AQ808RELHUM01,97,2023-05-12,16:46:50
AQ809RELHUM01,70,2023-06-12,14:17:08
AQ810RELHUM01,65,2023-05-26,07:17:35
AQ811RELHUM01,75,2023-03-29,12:50:36
AQ801RELHUM01,99,2023-02-06,14:20:24
AQ802RELHUM01,93,2023-04-01,13:18:56
AQ803RELHUM01,82,2023-04-15,11:59:42
AQ804RELHUM01,92,2023-03-25,15:08:10
AQ805RELHUM01,73,2023-06-04,12:13:15
AQ806RELHUM01,58,2023-06-11,16:57:46
AQ807RELHUM01,100,2023-02-21,13:56:06
AQ808RELHUM01,98,2023-04-11,10:37:17
AQ809RELHUM01,51,2023-04-28,10:55:40
AQ810RELHUM01,99,2023-05-26,10:10:49
AQ811RELHUM01,82,2023-04-23,11:32:11
AQ801RELHUM01,98,2023-04-14,17:38:15
AQ802RELHUM01,74,2023-01-23,15:31:48
AQ803RELHUM01,54,2023-03-19,16:16:04
AQ804RELHUM01,52,2023-03-02,18:54:52
AQ805RELHUM01,62,2023-05-15,12:30:28
AQ806RELHUM01,88,2023-01-22,13:36:41
AQ807RELHUM01,74,2023-03-27,09:36:50
AQ808RELHUM01,51,2023-02-10,14:13:02
AQ809RELHUM01,94,2023-03-02,07:27:41
AQ810RELHUM01,57,2023-02-12,18:29:08
AQ811RELHUM01,90,2023-03-06,13:25:27
AQ801RELHUM01,86,2023-01-27,16:31:18
AQ802RELHUM01,56,2023-05-21,16:01:37
AQ803RELHUM01,74,2023-06-07,15:32:52
AQ804RELHUM01,87,2023-06-12,15:49:21
AQ805RELHUM01,100,2023-03-01,17:49:50
AQ806RELHUM01,87,2023-04-16,12:22:45
AQ807RELHUM01,57,2023-06-09,09:39:52
AQ808RELHUM01,98,2023-05-21,12:23:59
AQ809RELHUM01,70,2023-01-30,12:24:25
AQ810RELHUM01,76,2023-01-08,13:04:46
AQ811RELHUM01,63,2023-03-25,14:04:36
AQ801RELHUM01,74,2023-02-28,17:58:14
AQ802RELHUM01,74,2023-03-18,10:31:44
AQ803RELHUM01,64,2023-03-19,16:55:46
AQ804RELHUM01,75,2023-04-05,12:23:02
AQ805RELHUM01,70,2023-05-25,15:04:33
AQ806RELHUM01,68,2023-05-27,07:42:37
AQ807RELHUM01,97,2023-05-02,16:44:48
AQ808RELHUM01,80,2023-06-09,11:04:28
AQ809RELHUM01,86,2023-01-27,14:06:28
AQ810RELHUM01,82,2023-04-03,14:06:14
AQ811RELHUM01,87,2023-03-23,17:12:45
AQ801RELHUM01,94,2023-02-11,07:40:21
AQ802RELHUM01,65,2023-05-19,08:19:35
AQ803RELHUM01,83,2023-03-12,15:21:20
AQ804RELHUM01,60,2023-03-11,15:21:48
AQ805RELHUM01,62,2023-01-18,09:37:41
AQ806RELHUM01,93,2023-05-20,08:56:49
AQ807RELHUM01,83,2023-02-20,10:35:04
AQ808RELHUM01,65,2023-01-30,15:23:11
AQ809RELHUM01,52,2023-05-17,16:51:03
AQ810RELHUM01,68,2023-02-23,17:36:58
AQ811RELHUM01,66,2023-05-13,08:10:50
AQ801RELHUM01,61,2023-05-12,18:00:52
AQ802RELHUM01,68,2023-03-27,13:21:46
AQ803RELHUM01,66,2023-01-04,15:48:14
AQ804RELHUM01,87,2023-02-03,09:47:12
AQ805RELHUM01,50,2023-03-29,09:33:09
AQ806RELHUM01,82,2023-02-21,17:38:27
AQ807RELHUM01,54,2023-05-17,14:09:11
AQ808RELHUM01,50,2023-03-14,17:47:32
AQ809RELHUM01,74,2023-04-29,14:02:26
AQ810RELHUM01,74,2023-06-06,09:02:55
AQ811RELHUM01,75,2023-05-09,14:13:38
AQ801RELHUM01,91,2023-05-15,08:19:40
AQ802RELHUM01,83,2023-01-31,08:54:26
AQ803RELHUM01,59,2023-02-10,16:14:07
AQ804RELHUM01,51,2023-04-17,15:37:44
AQ805RELHUM01,75,2023-02-23,10:57:48
AQ806RELHUM01,64,2023-02-23,08:17:15
AQ807RELHUM01,96,2023-03-19,16:31:23
AQ808RELHUM01,55,2023-01-09,13:13:35
AQ809RELHUM01,55,2023-06-09,10:03:49
AQ810RELHUM01,61,2023-02-15,12:10:53
AQ811RELHUM01,100,2023-04-10,08:30:23
AQ801RELHUM01,76,2023-02-09,11:44:52
AQ802RELHUM01,85,2023-02-25,13:07:08
AQ803RELHUM01,68,2023-06-10,08:03:00
AQ804RELHUM01,83,2023-04-23,13:36:59
AQ805RELHUM01,92,2023-01-01,14:20:02
AQ806RELHUM01,51,2023-01-19,17:56:36
AQ807RELHUM01,67,2023-01-12,16:59:11
AQ808RELHUM01,86,2023-03-12,10:52:00
AQ809RELHUM01,56,2023-04-01,16:57:50
AQ810RELHUM01,93,2023-03-31,16:40:44
AQ811RELHUM01,93,2023-03-24,16:37:40
AQ801RELHUM01,80,2023-04-16,17:31:28
