ec_sensor_acu_id,ec_acu_date,ec_acu_time,ec_acu_current
R-ACU15-1,2023-05-11,12:54:05,59
R-ACU15-1,2023-05-17,13:02:26,51
R-ACU15-1,2023-05-25,16:06:08,36
R-ACU15-1,2023-05-14,08:58:47,100
R-ACU15-1,2023-05-13,13:05:54,103
R-ACU15-1,2023-05-18,18:08:54,111
R-ACU15-1,2023-05-06,10:01:08,29
R-ACU15-1,2023-05-14,13:25:15,20
R-ACU15-1,2023-05-14,17:19:55,40
R-ACU15-1,2023-05-05,13:41:07,11
R-ACU15-1,2023-05-11,09:33:50,61
R-ACU15-1,2023-05-12,17:11:06,96
R-ACU15-1,2023-05-23,13:40:44,59
R-ACU15-1,2023-05-01,12:00:49,6
R-ACU15-1,2023-05-20,12:09:15,50
R-ACU15-1,2023-05-13,10:33:34,46
R-ACU15-1,2023-05-13,13:54:49,22
R-ACU15-1,2023-05-24,09:50:51,12
R-ACU15-1,2023-05-08,07:10:17,14
R-ACU15-1,2023-05-01,13:52:59,25
R-ACU15-1,2023-05-28,18:49:07,107
R-ACU15-1,2023-05-16,10:14:31,8
R-ACU15-1,2023-05-27,08:19:31,52
R-ACU15-1,2023-05-19,12:46:35,42
R-ACU15-1,2023-05-15,12:37:22,118
R-ACU15-1,2023-05-01,15:11:11,25
R-ACU15-1,2023-05-06,07:17:53,114
R-ACU15-1,2023-05-22,13:35:39,61
R-ACU15-1,2023-05-12,12:57:43,32
R-ACU15-1,2023-05-29,13:04:14,105
R-ACU15-1,2023-05-24,10:50:44,56
R-ACU15-1,2023-05-09,13:43:13,11
R-ACU15-1,2023-05-20,18:03:10,20
R-ACU15-1,2023-05-04,07:57:38,54
R-ACU15-1,2023-05-07,07:28:22,3
R-ACU15-1,2023-05-21,16:06:42,54
R-ACU15-1,2023-05-20,08:08:08,56
R-ACU15-1,2023-05-29,10:13:08,68
R-ACU15-1,2023-05-04,10:24:53,47
R-ACU15-1,2023-05-07,15:42:32,24
R-ACU15-1,2023-05-12,11:32:16,53
R-ACU15-1,2023-05-16,14:47:32,85
R-ACU15-1,2023-05-30,07:42:48,23
R-ACU15-1,2023-05-23,13:07:59,118
R-ACU15-1,2023-05-06,13:47:11,20
R-ACU15-1,2023-05-13,12:56:38,30
R-ACU15-1,2023-05-29,11:29:08,37
R-ACU15-1,2023-05-24,14:17:20,96
R-ACU15-1,2023-05-09,17:46:57,58
R-ACU15-1,2023-05-19,12:09:44,81
R-ACU15-1,2023-05-19,07:36:04,19
R-ACU15-1,2023-05-02,14:22:40,87
R-ACU15-1,2023-05-14,07:55:00,66
R-ACU15-1,2023-05-18,11:37:13,63
R-ACU15-1,2023-05-22,10:22:11,10
R-ACU15-1,2023-05-19,09:27:19,65
R-ACU15-1,2023-05-14,09:21:23,88
R-ACU15-1,2023-05-28,07:19:47,27
R-ACU15-1,2023-05-19,11:09:51,78
R-ACU15-1,2023-05-22,18:15:25,44
R-ACU15-1,2023-05-02,17:53:23,1
R-ACU15-1,2023-05-17,11:06:19,67
R-ACU15-1,2023-05-27,16:16:53,15
R-ACU15-1,2023-05-01,15:12:12,106
R-ACU15-1,2023-05-25,13:04:32,107
R-ACU15-1,2023-05-01,09:16:31,20
R-ACU15-1,2023-05-19,16:55:48,11
R-ACU15-1,2023-05-28,10:32:18,26
R-ACU15-1,2023-05-27,18:40:56,51
R-ACU15-1,2023-05-27,10:10:02,92
R-ACU15-1,2023-05-28,16:58:54,76
R-ACU15-1,2023-05-04,09:03:31,63
R-ACU15-1,2023-05-03,11:28:15,101
R-ACU15-1,2023-05-11,09:58:19,51
R-ACU15-1,2023-05-13,12:20:29,45
R-ACU15-1,2023-05-29,12:50:18,37
R-ACU15-1,2023-05-09,14:13:49,98
R-ACU15-1,2023-05-06,07:05:47,27
R-ACU15-1,2023-05-20,09:39:29,6
R-ACU15-1,2023-05-08,10:54:13,24
R-ACU15-1,2023-05-18,12:11:21,10
R-ACU15-1,2023-05-19,12:17:39,18
R-ACU15-1,2023-05-21,15:38:50,73
R-ACU15-1,2023-05-20,15:40:29,94
R-ACU15-1,2023-05-24,14:13:16,40
R-ACU15-1,2023-05-14,17:30:26,44
R-ACU15-1,2023-05-02,18:59:35,9
R-ACU15-1,2023-05-11,11:09:31,59
R-ACU15-1,2023-05-25,09:35:49,95
R-ACU15-1,2023-05-27,14:11:57,0
R-ACU15-1,2023-05-10,18:45:15,41
R-ACU15-1,2023-05-15,16:31:28,80
R-ACU15-1,2023-05-30,15:21:11,13
R-ACU15-1,2023-05-07,10:20:17,105
R-ACU15-1,2023-05-23,09:01:52,48
R-ACU15-1,2023-05-06,11:23:05,34
R-ACU15-1,2023-05-25,08:15:02,15
R-ACU15-1,2023-05-24,11:08:53,91
R-ACU15-1,2023-05-05,14:27:43,53
R-ACU15-1,2023-05-07,17:01:22,85
R-ACU15-1,2023-05-11,14:00:29,84
R-ACU15-1,2023-05-08,10:44:31,79
