ec_util_id,ec_sensor_util_id,ec_util_date,ec_util_time,ec_util_current
1,R-UTL1-1,2023-05-14,09:40:04,37
2,R-UTL1-1,2023-05-06,10:20:01,85
3,R-UTL1-2,2023-05-15,17:00:44,11
4,R-UTL1-3,2023-05-18,07:55:33,106
5,R-UTL1-3,2023-05-07,09:59:14,120
6,R-UTL1-3,2023-05-11,12:06:10,41
7,R-UTL1-1,2023-05-13,16:33:37,32
8,R-UTL1-2,2023-05-07,14:37:52,3
9,R-UTL1-2,2023-05-07,13:48:22,114
10,R-UTL1-2,2023-05-07,08:55:16,30
11,R-UTL1-3,2023-05-22,08:18:00,29
12,R-UTL1-1,2023-05-06,08:46:26,18
13,R-UTL1-3,2023-05-25,18:03:58,13
14,R-UTL1-2,2023-05-29,15:23:30,118
15,R-UTL1-1,2023-05-29,08:12:30,50
16,R-UTL1-2,2023-05-28,11:22:55,108
17,R-UTL1-1,2023-05-04,11:44:47,61
18,R-UTL1-2,2023-05-02,17:17:07,14
19,R-UTL1-1,2023-05-19,09:55:32,115
20,R-UTL1-1,2023-05-06,08:49:39,96
21,R-UTL1-2,2023-05-26,17:22:27,41
22,R-UTL1-1,2023-05-20,07:26:43,66
23,R-UTL1-2,2023-05-09,17:52:49,22
24,R-UTL1-1,2023-05-01,18:44:35,46
25,R-UTL1-3,2023-05-20,12:16:39,55
26,R-UTL1-2,2023-05-04,17:01:22,117
27,R-UTL1-1,2023-05-06,15:30:20,94
28,R-UTL1-3,2023-05-22,11:14:20,8
29,R-UTL1-3,2023-05-28,07:35:04,104
30,R-UTL1-1,2023-05-28,13:58:30,116
31,R-UTL1-2,2023-05-27,15:13:50,113
32,R-UTL1-3,2023-05-14,11:23:40,11
33,R-UTL1-3,2023-05-14,09:36:35,45
34,R-UTL1-2,2023-05-16,08:16:53,45
35,R-UTL1-2,2023-05-21,09:25:44,56
36,R-UTL1-1,2023-05-14,15:07:48,56
37,R-UTL1-2,2023-05-28,16:41:20,55
38,R-UTL1-2,2023-05-30,09:45:09,14
39,R-UTL1-2,2023-05-22,14:48:54,110
40,R-UTL1-2,2023-05-21,14:14:48,19
41,R-UTL1-3,2023-05-28,15:17:52,93
42,R-UTL1-2,2023-05-07,11:00:23,75
43,R-UTL1-2,2023-05-20,13:55:54,3
44,R-UTL1-1,2023-05-05,15:59:36,99
45,R-UTL1-1,2023-05-15,08:01:43,39
46,R-UTL1-3,2023-05-07,07:42:32,68
47,R-UTL1-1,2023-05-13,11:29:14,7
48,R-UTL1-2,2023-05-06,16:20:38,2
49,R-UTL1-2,2023-05-23,11:39:43,49
50,R-UTL1-2,2023-05-24,10:43:28,104
51,R-UTL1-1,2023-05-13,14:22:32,13
52,R-UTL1-1,2023-05-24,18:08:57,93
53,R-UTL1-3,2023-05-23,17:53:31,71
54,R-UTL1-3,2023-05-25,09:08:18,86
55,R-UTL1-2,2023-05-11,17:27:15,44
56,R-UTL1-1,2023-05-13,18:18:53,71
57,R-UTL1-1,2023-05-10,18:07:09,115
58,R-UTL1-3,2023-05-04,15:37:13,112
59,R-UTL1-2,2023-05-12,09:11:15,12
60,R-UTL1-3,2023-05-07,15:34:43,48
61,R-UTL1-3,2023-05-03,18:39:16,24
62,R-UTL1-2,2023-05-02,15:27:07,67
63,R-UTL1-2,2023-05-13,13:47:29,86
64,R-UTL1-1,2023-05-05,13:36:17,85
65,R-UTL1-3,2023-05-15,14:06:49,8
66,R-UTL1-1,2023-05-13,09:38:08,66
67,R-UTL1-2,2023-05-27,17:17:06,114
68,R-UTL1-3,2023-05-07,13:49:03,10
69,R-UTL1-1,2023-05-21,18:10:06,114
70,R-UTL1-2,2023-05-30,16:25:02,67
71,R-UTL1-2,2023-05-23,18:21:32,112
72,R-UTL1-2,2023-05-05,09:36:06,77
73,R-UTL1-1,2023-05-27,17:54:05,117
74,R-UTL1-3,2023-05-06,13:39:20,52
75,R-UTL1-2,2023-05-14,18:10:39,34
76,R-UTL1-2,2023-05-04,12:28:36,53
77,R-UTL1-2,2023-05-02,08:04:45,64
78,R-UTL1-2,2023-05-04,15:13:38,67
79,R-UTL1-1,2023-05-19,17:55:38,109
80,R-UTL1-1,2023-05-16,08:52:18,54
81,R-UTL1-3,2023-05-20,17:46:36,42
82,R-UTL1-2,2023-05-20,16:21:11,59
83,R-UTL1-2,2023-05-13,07:29:20,2
84,R-UTL1-1,2023-05-05,18:31:46,113
85,R-UTL1-2,2023-05-08,09:53:56,30
86,R-UTL1-3,2023-05-12,17:36:07,75
87,R-UTL1-2,2023-05-10,18:33:02,30
88,R-UTL1-3,2023-05-17,07:02:34,4
89,R-UTL1-3,2023-05-04,13:13:55,45
90,R-UTL1-1,2023-05-21,15:24:55,10
91,R-UTL1-2,2023-05-12,16:27:23,86
92,R-UTL1-2,2023-05-02,09:10:01,104
93,R-UTL1-3,2023-05-02,12:01:18,57
94,R-UTL1-2,2023-05-17,08:20:11,1
95,R-UTL1-3,2023-05-20,15:32:14,88
96,R-UTL1-1,2023-05-23,18:02:34,18
97,R-UTL1-1,2023-05-22,17:59:23,99
98,R-UTL1-1,2023-05-20,12:09:33,64
99,R-UTL1-2,2023-05-29,11:16:20,31
100,R-UTL1-1,2023-05-30,17:40:22,103
