ec_sensor_util_id,ec_util_date,ec_util_time,ec_util_current
R-UTL2-1,2023-07-05,14:44:47,118
R-UTL2-1,2023-06-27,11:47:01,95
R-UTL2-1,2023-06-17,12:44:24,39
R-UTL2-1,2023-07-14,10:24:03,108
R-UTL2-1,2023-06-28,07:48:06,107
R-UTL2-1,2023-06-30,11:12:08,117
R-UTL2-1,2023-07-05,17:45:46,99
R-UTL2-1,2023-07-27,07:19:04,63
R-UTL2-1,2023-06-28,13:06:51,119
R-UTL2-1,2023-07-25,09:12:50,86
R-UTL2-1,2023-07-23,09:27:33,4
R-UTL2-1,2023-07-28,08:50:31,97
R-UTL2-1,2023-06-22,11:21:56,41
R-UTL2-1,2023-07-15,12:55:42,81
R-UTL2-1,2023-07-23,14:39:27,92
R-UTL2-1,2023-06-11,07:28:50,115
R-UTL2-1,2023-06-10,10:56:35,24
R-UTL2-1,2023-07-25,18:24:30,60
R-UTL2-1,2023-06-12,09:21:43,77
R-UTL2-1,2023-07-29,07:04:03,51
R-UTL2-1,2023-06-23,12:25:28,102
R-UTL2-1,2023-06-14,16:18:05,31
R-UTL2-1,2023-07-13,07:06:34,34
R-UTL2-1,2023-07-29,14:31:02,5
R-UTL2-1,2023-07-16,13:28:59,39
R-UTL2-1,2023-07-30,13:46:01,117
R-UTL2-1,2023-06-18,10:59:18,104
R-UTL2-1,2023-07-21,12:47:44,55
R-UTL2-1,2023-07-15,16:50:34,6
R-UTL2-1,2023-06-23,13:32:22,80
