outdoor_temp_id,outdoor_temp_sensor,outdoor_temp_data,outdoor_temp_date,outdoor_temp_time
1,AQ802OUTTEMP01,37,2023-05-11,17:35:14
2,AQ803OUTTEMP01,28,2023-05-25,15:15:11
3,AQ804OUTTEMP01,27,2023-05-17,10:43:45
4,AQ805OUTTEMP01,31,2023-05-16,18:09:52
5,AQ806OUTTEMP01,27,2023-05-14,08:18:42
6,AQ807OUTTEMP01,39,2023-05-10,18:23:42
7,AQ808OUTTEMP01,27,2023-05-14,17:37:26
8,AQ809OUTTEMP01,39,2023-05-22,15:31:12
9,AQ810OUTTEMP01,38,2023-05-28,11:43:55
10,AQ811OUTTEMP01,40,2023-05-13,07:55:14
11,AQ801OUTTEMP01,33,2023-05-13,12:37:03
12,AQ802OUTTEMP01,39,2023-05-06,17:33:51
13,AQ803OUTTEMP01,33,2023-05-23,17:10:47
14,AQ804OUTTEMP01,33,2023-05-24,15:53:40
15,AQ805OUTTEMP01,34,2023-05-20,08:32:40
16,AQ806OUTTEMP01,32,2023-05-15,16:08:12
17,AQ807OUTTEMP01,33,2023-05-01,18:39:08
18,AQ808OUTTEMP01,32,2023-05-03,10:00:03
19,AQ809OUTTEMP01,30,2023-05-06,17:57:55
20,AQ810OUTTEMP01,31,2023-05-30,17:30:23
21,AQ811OUTTEMP01,29,2023-05-03,13:57:15
22,AQ801OUTTEMP01,30,2023-05-07,13:44:38
23,AQ802OUTTEMP01,32,2023-05-30,11:18:12
24,AQ803OUTTEMP01,40,2023-05-18,18:32:53
25,AQ804OUTTEMP01,30,2023-05-24,12:36:20
26,AQ805OUTTEMP01,33,2023-05-09,18:55:39
27,AQ806OUTTEMP01,32,2023-05-16,08:56:35
28,AQ807OUTTEMP01,30,2023-05-24,07:39:28
29,AQ808OUTTEMP01,34,2023-05-28,13:00:12
30,AQ809OUTTEMP01,27,2023-05-06,09:12:54
31,AQ810OUTTEMP01,40,2023-05-21,16:35:02
32,AQ811OUTTEMP01,27,2023-05-24,09:23:24
33,AQ801OUTTEMP01,30,2023-05-03,13:56:25
34,AQ802OUTTEMP01,36,2023-05-25,17:12:47
35,AQ803OUTTEMP01,36,2023-05-29,18:11:41
36,AQ804OUTTEMP01,30,2023-05-05,13:45:09
37,AQ805OUTTEMP01,34,2023-05-18,18:35:16
38,AQ806OUTTEMP01,38,2023-05-30,11:34:13
39,AQ807OUTTEMP01,31,2023-05-08,17:53:54
40,AQ808OUTTEMP01,39,2023-05-24,12:15:00
41,AQ809OUTTEMP01,33,2023-05-16,17:57:48
42,AQ810OUTTEMP01,33,2023-05-06,09:55:37
43,AQ811OUTTEMP01,26,2023-05-11,14:08:29
44,AQ801OUTTEMP01,31,2023-05-10,09:46:50
45,AQ802OUTTEMP01,34,2023-05-01,14:10:14
46,AQ803OUTTEMP01,35,2023-05-12,08:16:30
47,AQ804OUTTEMP01,40,2023-05-30,11:17:02
48,AQ805OUTTEMP01,37,2023-05-04,12:09:15
49,AQ806OUTTEMP01,29,2023-05-07,11:29:05
50,AQ807OUTTEMP01,26,2023-05-25,10:52:13
51,AQ808OUTTEMP01,32,2023-05-28,10:17:24
52,AQ809OUTTEMP01,40,2023-05-01,17:50:30
53,AQ810OUTTEMP01,36,2023-05-20,14:27:22
54,AQ811OUTTEMP01,35,2023-05-24,08:47:23
55,AQ801OUTTEMP01,39,2023-05-14,10:10:41
56,AQ802OUTTEMP01,36,2023-05-10,09:54:52
57,AQ803OUTTEMP01,40,2023-05-01,18:45:20
58,AQ804OUTTEMP01,35,2023-05-22,18:45:58
59,AQ805OUTTEMP01,38,2023-05-23,08:58:02
60,AQ806OUTTEMP01,37,2023-05-03,11:11:14
61,AQ807OUTTEMP01,29,2023-05-24,13:33:55
62,AQ808OUTTEMP01,37,2023-05-27,13:28:02
63,AQ809OUTTEMP01,27,2023-05-19,11:05:48
64,AQ810OUTTEMP01,32,2023-05-04,07:50:59
65,AQ811OUTTEMP01,35,2023-05-17,11:45:21
66,AQ801OUTTEMP01,36,2023-05-03,18:32:26
67,AQ802OUTTEMP01,29,2023-05-15,13:16:03
68,AQ803OUTTEMP01,28,2023-05-09,10:12:15
69,AQ804OUTTEMP01,31,2023-05-17,09:42:12
70,AQ805OUTTEMP01,28,2023-05-27,18:17:46
71,AQ806OUTTEMP01,38,2023-05-06,12:32:17
72,AQ807OUTTEMP01,37,2023-05-28,13:37:31
73,AQ808OUTTEMP01,34,2023-05-19,07:37:59
74,AQ809OUTTEMP01,26,2023-05-26,07:47:18
75,AQ810OUTTEMP01,34,2023-05-28,12:27:10
76,AQ811OUTTEMP01,34,2023-05-05,17:44:11
77,AQ801OUTTEMP01,39,2023-05-16,15:26:38
78,AQ802OUTTEMP01,30,2023-05-20,08:06:27
79,AQ803OUTTEMP01,32,2023-05-02,17:49:46
80,AQ804OUTTEMP01,38,2023-05-23,07:10:14
81,AQ805OUTTEMP01,27,2023-05-05,08:20:20
82,AQ806OUTTEMP01,37,2023-05-26,10:55:40
83,AQ807OUTTEMP01,30,2023-05-20,14:19:35
84,AQ808OUTTEMP01,28,2023-05-09,12:56:31
85,AQ809OUTTEMP01,37,2023-05-07,15:33:41
86,AQ810OUTTEMP01,31,2023-05-21,16:48:09
87,AQ811OUTTEMP01,27,2023-05-28,18:09:27
88,AQ801OUTTEMP01,37,2023-05-04,14:43:50
89,AQ802OUTTEMP01,40,2023-05-17,18:36:03
90,AQ803OUTTEMP01,33,2023-05-15,09:55:11
91,AQ804OUTTEMP01,34,2023-05-16,10:32:54
92,AQ805OUTTEMP01,28,2023-05-07,14:19:26
93,AQ806OUTTEMP01,32,2023-05-08,07:02:48
